"name","abbrev","expression","reference"
"Carotenoid 1","cri1","(1/R510)-(1/R550)","Gitelson AA, Zur Y, Chivkunova OB, Merzlyak MN (2002) Assessing carotenoid content in plant leaves with reflectance spectroscopy. Photochem Photobiol 75: 272-281"
"Carotenoid 2","cri2","(1/R510)-(1/R700)","Gitelson AA, Zur Y, Chivkunova OB, Merzlyak MN (2002) Assessing carotenoid content in plant leaves with reflectance spectroscopy. Photochem Photobiol 75: 272-281"
"Carter 1","carter1","R695/R760","Carter, G.A., 1994 ""Ratios of leaf reflectance in narrow wavelengths as indicator of plant stress"", Int. J. Remote Sensing 15:697-704."
"Carter 2","carter2","R695/R420","Carter, G.A., 1994 ""Ratios of leaf reflectance in narrow wavelengths as indicator of plant stress, Int. J. Remote Sensing 15:697-704."
"Chlorophyll 1 A","chl1a","(R740^2)/ (R675*R800)",""
"Chlorophyll 1 B","chl1b","(R740^3)/ (R675*R695*R800)",""
"Chlorophyll 2 A","chl2a","(R685^2)/ (R675*R800)",""
"Chlorophyll 2 B","chl2b","(R685^3)/ (R675*R695*R800)",""
"Curvature Index","curvature","(R675*R690)/ (R683^2)","Zarco-Tejada, P. J., Miller, J. R., Mohammed, G. H., Noland, T. L., & Sampson, P. H. (2002). Vegetation stress detection through chlorophyll a + b estimation and fluorescence effects on hyperspectral imagery. Journal of Environmental Quality, 31, 1433- 1441."
"Datt 1","datt1","R860/ (R708*R550)","Datt B (1998) Remote sensing of chlorophyll a, chlorophyll b, chlorophyll a + b, and total carotenoid content in eucalyptus leaves. Remote Sens Environ 66: 111-121"
"Gitelson 1","gitelson1","(R800-R700)/ (R800+R700)","Gitelson, A. A., and Merzlyak, M. N. (1994), Spectral reflectance changes associated with autumn senescence of Aesculus hippocastanum L. and Acer platanoides L. leaves. Spectral features and relation to chlorophyll estimation. J. Plant Physiol. 143:286-292."
"Gitelson 2","gitelson2","(R750-R705)/ (R750+R705)","Gitelson, A. A., and Merzlyak, M. N. (1994), Spectral reflectance changes associated with autumn senescence of Aesculus hippocastanum L. and Acer platanoides L. leaves. Spectral features and relation to chlorophyll estimation. J. Plant Physiol. 143:286-292."
"Gitelson 3","gitelson3","(R750-R445)/ (R700-R445)","Gitelson, A. A., U. Gritz, and M. N. Merzlyak (2003), Relationships between leaf chlorophyll content and spectral reflectance and algorithms for non-destructive chlorophyll assessment in higher plant leaves, J. Plant Physiol., 160, 271- 282."
"Gitelson 4","gitelson4","(1/R550)-(1/R750)","Gitelson, A. A., U. Gritz, and M. N. Merzlyak (2003), Relationships between leaf chlorophyll content and spectral reflectance and algorithms for non-destructive chlorophyll assessment in higher plant leaves, J. Plant Physiol., 160, 271- 282."
"Gitelson 5","gitelson5","(1/R700)-(1/R800)","Gitelson, A. A., U. Gritz, and M. N. Merzlyak (2003), Relationships between leaf chlorophyll content and spectral reflectance and algorithms for non-destructive chlorophyll assessment in higher plant leaves, J. Plant Physiol., 160, 271- 282."
"Greenness 1","green1","(R554/R675)",""
"Modified Normalized Difference Vegetation Index (mNDVI)","mndvi","(R750-R705)/ (R750+R705-2*R445)",""
"Modified Simple Ratio","msr","(R750-R445)/ (R705-R445)","D.A. Sims, J.A. Gamon / Remote Sensing of Environment 81 (2002) 337-354"
"Normalized Difference 1","nd1","(R682-R553)/ (R682+R553)","S. Gandia, G. Fernandez, J.C. Garcia and J. Moreno ""Retrieval of Vegetation Biophysical Variables from CHRIS/Proba Data in the SPARC Campaign"", Proceedings of the 2nd CHRIS/Proba Workshop, ESRIN, Frascati, Italy, 2004."
